Name,Developer,Version,Loader,Enabled,FileName,Path
Create Big Cannons,rbasamoyai,5.11.7,NeoForge,true,createbigcannons-5.11.7+mc.1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\createbigcannons-5.11.7+mc.1.21.1.jar
Create Deco,"Kayla, Talrey, Ordana, Cassian",2.1.3,NeoForge,true,createdeco-2.1.3.jar,C:\Users\Lucky56\github\modpacks\mods\createdeco-2.1.3.jar
Create Diesel Generators,George VI,1.21.1-1.3.14,NeoForge,true,createdieselgenerators-1.21.1-1.3.14.jar,C:\Users\Lucky56\github\modpacks\mods\createdieselgenerators-1.21.1-1.3.14.jar
Create: Dragons Plus,DragonsPlus,1.11.2b,NeoForge,true,CreateDragonsPlus-1.11.2b.jar,C:\Users\Lucky56\github\modpacks\mods\CreateDragonsPlus-1.11.2b.jar
[Furniture] Create/Sable Compat,mistrberry,4.8.17,NeoForge,true,createfurnitureseats-4.8.17.jar,C:\Users\Lucky56\github\modpacks\mods\createfurnitureseats-4.8.17.jar
Create:Lazy Tick,"Authors: PinkCats, Fugit-5414 (Without Order) Contributors: rightlv",2.4.9-6.0.x,NeoForge,true,CreateLazyTick-2.4.9-6.0.x-neoforge-1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\CreateLazyTick-2.4.9-6.0.x-neoforge-1.21.1.jar
Create More Conveyor,Darudas,1.0.1,NeoForge,true,createmoreconveyor-neoforge-1.21.1-1.0.1.jar,C:\Users\Lucky56\github\modpacks\mods\createmoreconveyor-neoforge-1.21.1-1.0.1.jar
Create Nuclear,Create Nuclear,1.3.2-beta.3,NeoForge,true,createnuclear-1.3.2-beta.3-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\createnuclear-1.3.2-beta.3-neoforge.jar
Create: Rail Grinding,Juni Knytt,1.2.1,NeoForge,true,createrailgrinding-1.2.1.jar,C:\Users\Lucky56\github\modpacks\mods\createrailgrinding-1.2.1.jar
Create Railways Navigator,MrJulsen,1.21.1-beta-0.9.1-C6,NeoForge,true,createrailwaysnavigator-neoforge-1.21.1-beta-0.9.1-C6.jar,C:\Users\Lucky56\github\modpacks\mods\createrailwaysnavigator-neoforge-1.21.1-beta-0.9.1-C6.jar
Create X Not Enough Trials,Danmatisk,1.0,NeoForge,true,CreateXNET-1.21-v1.0.jar,C:\Users\Lucky56\github\modpacks\mods\CreateXNET-1.21-v1.0.jar
Create: Blocks & Bogies,"Weido's Oddities (@weidos.oddities), teacup (@t__cup), Matt",1.0.7,NeoForge,true,create_bb-1.0.7-1.21.1-Neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\create_bb-1.0.7-1.21.1-Neoforge.jar
Create: Bitterballen,pyzpre,1.0.2C,NeoForge,true,create_bic_bit-1.0.2C.jar,C:\Users\Lucky56\github\modpacks\mods\create_bic_bit-1.0.2C.jar
Create: Compatible Storage,Dadamalda,2.11.0-neoforge,NeoForge,true,create_compatible_storage-2.11.0-neoforge.jar,C:\Users\Lucky56\github\modpacks\mods\create_compatible_storage-2.11.0-neoforge.jar
Create: Connected,Lysine,1.3.2-mc1.21.1,NeoForge,true,create_connected-1.3.2-mc1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\create_connected-1.3.2-mc1.21.1.jar
